,Calb2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Plp1_class,Rgs4_class,Satb1_class,Sncg_class,Zero
Serpini1,0.9160394773100519,0.2553141658032115,2.3775807903412476,1.8672204302294706,1.1486248373129206,1.048916857133979,1.8622271605888778,1.6803272330740993,3.7045751158974647,0.4456684984744211,0.7592032776164043,1.165623805596626,0.0662228601514822
Slc17a8,0.059564321916398245,0.022451550118144085,0.05654492928243321,0.13752867076698586,0.22692953696174567,0.14428945881621777,0.2944733173594089,0.3230330731688959,1.0637575256951275,0.17416620693007917,0.09953653568903403,0.18273819333270233,0.006990267250109225
Snca,0.8396135654586844,0.5050201974159195,0.23208389594440534,2.1290260781957326,0.5979598402875147,2.170038135346597,2.460631957713645,3.456044773251649,2.2761435834016934,3.4152737163080857,2.0078574467764456,4.683484048711021,0.08160892776519957
Sncg,1.4126274261858467,0.1792224135333735,0.06439728753727475,0.1675202140473403,0.7956574363564203,0.09520867330867547,0.00037554589106071493,0.9565319752937032,0.008409041229362108,13.289614645201336,0.4426552897516836,14.754253069504761,0.051320425344257146
Sst,0.12467991927496376,0.2262518875589133,0.10067021098611109,0.1327850998538686,0.5295907860327509,1.029527535078077,0.40253917474906975,5.550925021501753,2.137935046208296,0.15112181123104731,2.730046636341849,0.4488230702489089,0.06659495144973804
Synpr,0.0,0.038403266008304376,0.21429897538543186,0.171808463280318,0.05629212671594223,0.05834350702753476,0.01615714940834786,0.21034560351337722,11.932181048360247,0.01568646398006691,0.25153039996437576,0.08721231796020772,0.01021919648974766
Tac1,0.04781750784495003,0.025050418081812294,0.06519841503648363,0.003454128944398344,0.029228896054462005,1.8541108399018227,0.08479872510323454,0.5085990415164979,0.16248320481628561,0.034152974439953555,0.020015329391036084,0.0058681651095115065,0.01636294624037337
Tac2,0.12582592467579384,0.020440896312359125,0.023795681143228324,0.0036131657882065528,0.0002546376434646655,6.178323653276913e-05,0.03630411415938596,0.3021204804198592,0.0987880872161669,0.1453721872597203,0.1157943793530818,0.44736888742588654,0.008102076215819355
Th,0.0671076213044549,0.017794366270229955,0.010112530814371419,0.12753808720899845,0.1656891264290302,0.0,0.0,0.0,0.400155224392588,0.09971818084147381,0.033901149419264164,0.0770196373435137,0.0011572601941608925
Thsd7a,0.2779759977192865,0.142372753677627,0.7154560743663765,0.9141871860956902,0.9978685344474918,0.4042175652691164,1.1064182440842523,0.4236044623122481,2.27747726556104,0.12360242028911324,0.1815910337800432,0.20852582580771725,0.039014527002817406
Trp53i11,0.858051960794287,0.16195399755576487,0.6933397796782561,0.559296456070371,0.49809405039111826,0.8202001979653971,0.9418156275883212,1.3387025350039183,0.854122216070691,1.1062472969124149,0.5891551182796241,2.134594792956055,0.03673128949465713
Vip,0.05096183145121278,0.00259128310390443,0.0,0.04037462138896743,0.00022967900440535926,0.04006651725525298,0.0,0.14255057655097397,0.6742609221992042,0.032970118012436135,0.0,0.15424243797834597,0.0
Wfs1,0.08597075403529418,0.24600828834115993,0.6014509377846942,0.6174529260388995,0.3954008383815387,0.4222021061171156,0.1001967442274185,0.7830377003995146,3.826917877340847,0.23789856183171026,0.250483706692877,0.4413825610767114,0.07469322330273664
Yjefn3,0.00014492727464251258,0.009253286569775657,0.0,0.018230054704311962,0.0841189671674845,0.12963149651233039,0.0,0.07113038824398926,0.1336382060851953,0.0853325223076095,0.03313629898043879,0.15738031077437212,0.008468040544682509
